MyUnknownColumn,Date,Open,High,Low,Close,Volume
99,"20220317  09:30:00",804.35,822.15,804.35,816.8,224400
100,"20220317  10:30:00",817.8,829.6,815.7,826.9,170000
101,"20220317  11:30:00",827.5,829.25,823.25,827.3,161500
102,"20220317  12:30:00",826.2,828.8,825.1,827.55,153000
103,"20220317  13:30:00",827.05,828.35,821.45,822.25,127500
104,"20220317  14:30:00",823.7,830,822.65,826.55,177650
105,"20220321  09:15:00",825.85,829.85,822.5,828.6,50150
106,"20220321  09:30:00",829,842.55,827.95,840.8,313650
107,"20220321  10:30:00",841.45,844.45,837.3,842.5,84150
108,"20220321  11:30:00",842.2,863.6,839.45,856.4,349350
109,"20220321  12:30:00",855.85,856.5,841.55,845,180200
110,"20220321  13:30:00",845.85,849.5,843.45,846.05,62900
111,"20220321  14:30:00",845.25,846.3,840.65,843.55,119850
112,"20220322  09:15:00",843.55,843.55,834.3,834.3,44200
113,"20220322  09:30:00",834.05,835.3,825.05,826.4,99450
114,"20220322  10:30:00",826.7,833.45,824.65,832.8,42500
115,"20220322  11:30:00",832.7,832.7,825.85,829.45,32300
116,"20220322  12:30:00",829.55,838.95,828.05,836.2,53550
117,"20220322  13:30:00",836.55,846.9,836.4,838.85,86700
118,"20220322  14:30:00",840.45,843.25,836.7,842.4,95200
119,"20220323  09:15:00",842.65,849.1,842.65,846.6,24650
120,"20220323  09:30:00",844.65,846.45,835.85,838.35,71400
121,"20220323  10:30:00",839.5,845.4,839.5,843.75,37400
122,"20220323  11:30:00",842.6,843.75,837.1,843.1,48450
123,"20220323  12:30:00",844.2,846.8,840.8,845.3,27200
124,"20220323  13:30:00",846.45,847.25,841.75,842.45,26350
125,"20220323  14:30:00",843.1,846.4,840.9,841,60350
126,"20220324  09:15:00",843.45,848.2,841.3,847.75,33150
127,"20220324  09:30:00",847.75,854.65,845.15,845.15,118150
128,"20220324  10:30:00",845.4,851.4,845,849.4,36550
129,"20220324  11:30:00",849.45,852.5,846.95,847.2,38250
130,"20220324  12:30:00",847.3,850.2,847.3,850.2,18700
131,"20220324  13:30:00",850.7,852.55,849.1,851.2,34000
132,"20220324  14:30:00",850.8,851.4,847.6,848.65,77350
133,"20220325  09:15:00",852.9,855.35,851.35,855.35,28050
134,"20220325  09:30:00",855.25,859.3,850.25,852.65,45900
135,"20220325  10:30:00",852.95,858.6,851.55,857.75,25500
136,"20220325  11:30:00",855.75,855.75,848.5,853.4,28050
137,"20220325  12:30:00",852.5,853.15,849.85,849.85,5950
138,"20220325  13:30:00",851.35,851.95,847.8,851.95,19550
139,"20220325  14:30:00",852.5,857.1,851.1,852.6,39100
140,"20220328  09:15:00",856.65,860.3,850.2,850.2,26350
141,"20220328  09:30:00",850.65,852.75,842.35,842.35,46750
142,"20220328  10:30:00",841.65,848.35,841.4,841.55,52700
143,"20220328  11:30:00",841.8,843.7,839.25,843.7,46750
144,"20220328  12:30:00",844.4,849.8,844.4,848.7,36550
145,"20220328  13:30:00",846.85,848.15,842.75,845,58650
146,"20220328  14:30:00",845.05,845.9,837.95,842.2,82450
147,"20220329  09:15:00",848.95,854.05,844.95,853.85,38250
148,"20220329  09:30:00",853.15,859.85,851.05,857.65,130900
149,"20220329  10:30:00",857.6,863.45,853.85,855.3,86700
150,"20220329  11:30:00",854.5,858.95,851.3,857.05,73100
151,"20220329  12:30:00",857.2,858.05,852,853,62900
152,"20220329  13:30:00",853.35,856,851.4,853.65,76500
153,"20220329  14:30:00",854.45,856.05,851.45,853.85,127500
154,"20220330  09:15:00",853.85,860.2,853.85,857.55,45050
155,"20220330  09:30:00",857.05,857.25,853.85,856.5,55250
156,"20220330  10:30:00",857.15,864,856.25,857.8,96050
157,"20220330  11:30:00",858.15,860.3,856.7,856.7,56950
158,"20220330  12:30:00",856.45,872.25,856.45,870.05,187850
159,"20220330  13:30:00",870.2,875.5,867.7,868.15,127500
160,"20220330  14:30:00",867.55,872.95,866.75,869.55,129200
161,"20220331  09:15:00",874.15,878.35,869.1,869.7,43350
162,"20220331  09:30:00",869.55,876.85,869.55,873.35,62900
163,"20220331  10:30:00",874.95,875.55,873.75,873.85,22950
164,"20220331  11:30:00",874.4,876,872.7,873.5,40800
165,"20220331  12:30:00",873.55,886.35,872,883.85,222700
166,"20220331  13:30:00",883.25,885.6,881.85,883.15,71400
167,"20220331  14:30:00",883.25,887.05,882.05,885.9,138550
168,"20220401  09:15:00",894.55,899.95,882.7,887.5,103700
169,"20220401  09:30:00",886.65,891.4,884.4,887.95,98600
170,"20220401  10:30:00",886.45,887.8,881.55,883.45,58650
171,"20220401  11:30:00",882.65,885.2,879.75,881.55,51850
172,"20220401  12:30:00",882,882.45,878.3,878.6,40800
173,"20220401  13:30:00",878.35,883.4,877.9,882.45,41650
174,"20220401  14:30:00",880.6,883.85,879.95,880.65,107100
175,"20220404  09:15:00",885.2,897.15,884.3,892.6,83300
176,"20220404  09:30:00",893.15,893.7,889.2,892.2,53550
177,"20220404  10:30:00",891.05,893.4,889.5,893.4,34000
178,"20220404  11:30:00",892.05,896.3,891.65,892.15,49300
179,"20220404  12:30:00",892.2,895,891.05,894.6,35700
180,"20220404  13:30:00",895.6,902.55,894.9,901.4,135150
181,"20220404  14:30:00",901.25,902.1,899.05,900.15,109650
